               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.088396,             0.04001,            0.048304,             0.25334,            0.095976,            0.086284,            0.030537,            0.065518,             0.01812,            0.032886,             0.07027,           0.0033033,           0.0033033
                   1,             0.06098,            0.040683,            0.025859,             0.71805,             0.30738,             0.30031,             0.11467,            0.059959,            0.014412,              0.0126,            0.040257,           0.0066235,           0.0066235
                   2,            0.057335,            0.035377,            0.011838,             0.46231,             0.32115,             0.32688,             0.15672,            0.060008,             0.01347,            0.011877,            0.010231,           0.0099305,           0.0099305
                   3,            0.053627,            0.033119,           0.0086785,             0.49138,             0.55264,             0.55758,             0.21406,            0.047788,            0.014635,           0.0048512,           0.0099406,           0.0099406,           0.0099406
                   4,            0.050387,            0.033927,           0.0073053,             0.39361,             0.38261,             0.41891,             0.16162,            0.057809,            0.015695,           0.0085733,           0.0099406,           0.0099406,           0.0099406
                   5,            0.047915,              0.0336,             0.00613,             0.70333,             0.25931,              0.3313,             0.14441,            0.056767,            0.015791,           0.0053581,           0.0099208,           0.0099208,           0.0099208
                   6,            0.046699,            0.033544,           0.0066334,             0.56875,             0.54154,             0.53818,             0.21492,            0.045349,            0.013234,           0.0077522,            0.009901,            0.009901,            0.009901
                   7,            0.045624,            0.034077,           0.0050885,             0.82287,             0.57685,             0.65867,               0.299,            0.042668,            0.013538,           0.0034796,           0.0098812,           0.0098812,           0.0098812
                   8,            0.044632,            0.033464,           0.0041589,             0.64779,             0.61306,              0.6201,             0.25569,            0.042868,            0.013956,           0.0023706,           0.0098614,           0.0098614,           0.0098614
                   9,            0.042722,            0.033382,           0.0047285,             0.50229,               0.594,              0.5811,             0.25728,            0.039675,            0.013948,           0.0016242,           0.0098416,           0.0098416,           0.0098416
                  10,            0.042643,             0.03317,           0.0043539,             0.62429,              0.1307,             0.18765,            0.065172,            0.065992,            0.016985,            0.017156,           0.0098218,           0.0098218,           0.0098218
                  11,            0.041716,             0.03257,           0.0042914,             0.77242,             0.35406,             0.34304,             0.16503,            0.052862,            0.015457,            0.013996,            0.009802,            0.009802,            0.009802
                  12,            0.041137,             0.03321,           0.0040204,             0.67382,              0.5715,              0.6727,             0.33345,            0.042138,             0.01365,            0.001472,           0.0097822,           0.0097822,           0.0097822
                  13,            0.040831,            0.032691,           0.0037081,             0.64963,             0.62495,             0.67844,             0.31618,            0.040699,            0.012719,           0.0010706,           0.0097624,           0.0097624,           0.0097624
                  14,            0.040846,            0.032726,           0.0037178,             0.62821,             0.60066,             0.66454,             0.33472,            0.040051,            0.013571,           0.0010971,           0.0097426,           0.0097426,           0.0097426
                  15,             0.04023,            0.032222,            0.003294,             0.68628,             0.69974,             0.79578,             0.44232,            0.035487,            0.013033,          0.00099421,           0.0097228,           0.0097228,           0.0097228
                  16,            0.040481,            0.032928,            0.003166,             0.58828,             0.68349,             0.74141,              0.3696,            0.037756,            0.013073,          0.00098519,            0.009703,            0.009703,            0.009703
                  17,            0.039359,            0.032788,           0.0032674,              0.4685,             0.60424,             0.55751,             0.27831,            0.042991,            0.013803,          0.00097961,           0.0096832,           0.0096832,           0.0096832
                  18,            0.039809,            0.031979,           0.0030981,             0.62754,             0.71032,             0.75596,             0.39746,             0.03631,            0.012845,           0.0011716,           0.0096634,           0.0096634,           0.0096634
                  19,              0.0394,            0.032028,           0.0030367,             0.80581,             0.54902,             0.64816,             0.35545,            0.034957,            0.013495,          0.00094528,           0.0096436,           0.0096436,           0.0096436
                  20,            0.038425,             0.03145,           0.0027234,             0.64763,             0.64526,             0.65621,             0.35431,            0.035225,            0.013465,           0.0007812,           0.0096238,           0.0096238,           0.0096238
                  21,             0.03823,            0.031703,           0.0026685,             0.57785,             0.62824,             0.67861,             0.37016,            0.033844,            0.013986,           0.0011111,            0.009604,            0.009604,            0.009604
                  22,            0.038523,            0.032109,           0.0028525,             0.71183,             0.70538,              0.7325,             0.39855,            0.033751,            0.012604,          0.00066047,           0.0095842,           0.0095842,           0.0095842
                  23,            0.037944,            0.031726,           0.0025796,              0.7081,              0.6807,             0.69166,             0.33691,            0.040137,            0.013017,          0.00075002,           0.0095644,           0.0095644,           0.0095644
                  24,            0.037057,            0.031608,           0.0025811,             0.66982,             0.66017,             0.72313,              0.3224,             0.03739,            0.013762,          0.00081139,           0.0095446,           0.0095446,           0.0095446
                  25,            0.037629,            0.031614,           0.0040061,             0.67573,             0.67995,             0.73348,              0.3984,            0.040908,             0.01361,           0.0010108,           0.0095248,           0.0095248,           0.0095248
                  26,            0.036937,             0.03203,           0.0028137,             0.74192,             0.59335,             0.61178,             0.34022,            0.035103,            0.013203,          0.00091724,            0.009505,            0.009505,            0.009505
                  27,            0.036926,             0.03141,           0.0025772,              0.5636,             0.63134,             0.66126,             0.37448,            0.036225,            0.013709,          0.00075417,           0.0094852,           0.0094852,           0.0094852
                  28,            0.037523,            0.031478,           0.0025411,              0.6515,             0.70325,             0.74943,             0.39729,            0.034452,              0.0132,          0.00080481,           0.0094654,           0.0094654,           0.0094654
                  29,            0.036369,            0.031003,           0.0022182,             0.65273,             0.68696,             0.69941,             0.34124,            0.035206,            0.013533,          0.00090051,           0.0094456,           0.0094456,           0.0094456
                  30,            0.035816,             0.03165,           0.0022653,             0.61152,             0.67379,             0.72353,             0.38535,            0.035382,             0.01363,          0.00070553,           0.0094258,           0.0094258,           0.0094258
                  31,            0.035969,            0.030941,           0.0025526,             0.56671,             0.71808,             0.74284,             0.36211,            0.034904,            0.013871,           0.0007802,            0.009406,            0.009406,            0.009406
                  32,            0.036131,            0.030847,           0.0019934,             0.77731,             0.53987,              0.6716,              0.3295,             0.03565,            0.013412,           0.0010424,           0.0093862,           0.0093862,           0.0093862
